YM_ID|B_EMD_CD|OCR_CNT|DEATH_CNT|INJURY_CNT|ETL_TYPE|ETL_DATE
200706|3014010900|3|0|5|0601|2012-03-21 17:53:44
200708|3014010900|1|0|1|0601|2012-03-21 17:53:44
200710|3014010900|2|0|2|0601|2012-03-21 17:53:44
200712|3014010900|2|0|2|0601|2012-03-21 17:53:44
200702|3014011200|2|0|4|0601|2012-03-21 17:53:44
200704|3014011200|5|0|5|0601|2012-03-21 17:53:44
200706|3014011200|2|0|4|0601|2012-03-21 17:53:44
200708|3014011200|4|0|4|0601|2012-03-21 17:53:44
200710|3014011200|3|0|4|0601|2012-03-21 17:53:44
200712|3014011200|5|0|5|0601|2012-03-21 17:53:44
200702|3014011500|4|0|6|0601|2012-03-21 17:53:44
200704|3014011500|10|0|18|0601|2012-03-21 17:53:44
200706|3014011500|7|1|10|0601|2012-03-21 17:53:44
200708|3014011500|12|0|31|0601|2012-03-21 17:53:44
200710|3014011500|10|1|16|0601|2012-03-21 17:53:44
200712|3014011500|11|0|16|0601|2012-03-21 17:53:44
200702|3014010100|5|0|7|0601|2012-03-21 17:53:44
200704|3014010100|3|0|3|0601|2012-03-21 17:53:44
200706|3014010100|5|0|5|0601|2012-03-21 17:53:44
200708|3014010100|5|0|5|0601|2012-03-21 17:53:44
200710|3014010100|5|0|9|0601|2012-03-21 17:53:44
200712|3014010100|3|0|4|0601|2012-03-21 17:53:44
200702|3014010400|4|0|9|0601|2012-03-21 17:53:44
200704|3014010400|7|0|9|0601|2012-03-21 17:53:44
200706|3014010400|6|0|9|0601|2012-03-21 17:53:44
200708|3014010400|5|0|8|0601|2012-03-21 17:53:44
200710|3014010400|9|0|19|0601|2012-03-21 17:53:44
200712|3014010400|4|0|9|0601|2012-03-21 17:53:44
200702|3023010200|3|0|6|0601|2012-03-21 17:53:44
200704|3023010200|4|0|7|0601|2012-03-21 17:53:44
200706|3023010200|1|0|2|0601|2012-03-21 17:53:44
200708|3023010200|3|0|5|0601|2012-03-21 17:53:44
200710|3023010200|2|0|2|0601|2012-03-21 17:53:44
200712|3023010200|4|1|7|0601|2012-03-21 17:53:44
200702|3023011500|3|2|4|0601|2012-03-21 17:53:44
200704|3023011500|2|0|6|0601|2012-03-21 17:53:44
200706|3023011500|0|0|0|0601|2012-03-21 17:53:44
200708|3023011500|0|0|0|0601|2012-03-21 17:53:44
200710|3023011500|4|0|6|0601|2012-03-21 17:53:44
200712|3023011500|1|0|1|0601|2012-03-21 17:53:44
200702|3023011200|0|0|0|0601|2012-03-21 17:53:44
200704|3023011200|3|0|7|0601|2012-03-21 17:53:44
200706|3023011200|2|0|3|0601|2012-03-21 17:53:44
200708|3023011200|0|0|0|0601|2012-03-21 17:53:44
200710|3023011200|2|0|4|0601|2012-03-21 17:53:44
200712|3023011200|0|0|0|0601|2012-03-21 17:53:44
200702|3023011300|0|0|0|0601|2012-03-21 17:53:44
200704|3023011300|2|0|3|0601|2012-03-21 17:53:44
200706|3023011300|2|0|2|0601|2012-03-21 17:53:44
200708|3023011300|1|0|2|0601|2012-03-21 17:53:44
200710|3023011300|1|0|2|0601|2012-03-21 17:53:44
200712|3023011300|1|0|1|0601|2012-03-21 17:53:44
200702|3023012500|0|0|0|0601|2012-03-21 17:53:44
200704|3023012500|0|0|0|0601|2012-03-21 17:53:44
200706|3023012500|0|0|0|0601|2012-03-21 17:53:44
200708|3023012500|1|0|1|0601|2012-03-21 17:53:44
200710|3023012500|0|0|0|0601|2012-03-21 17:53:44
200712|3023012500|1|0|3|0601|2012-03-21 17:53:44
200702|3023010800|3|0|4|0601|2012-03-21 17:53:44
200704|3023010800|3|0|3|0601|2012-03-21 17:53:44
200706|3023010800|7|1|16|0601|2012-03-21 17:53:44
200708|3023010800|7|0|24|0601|2012-03-21 17:53:44
200710|3023010800|3|0|4|0601|2012-03-21 17:53:44
200712|3023010800|6|1|12|0601|2012-03-21 17:53:44
200702|3023011000|2|0|2|0601|2012-03-21 17:53:44
200704|3023011000|9|0|12|0601|2012-03-21 17:53:44
200706|3023011000|2|0|3|0601|2012-03-21 17:53:44
200708|3023011000|5|0|9|0601|2012-03-21 17:53:44
200710|3023011000|6|0|12|0601|2012-03-21 17:53:44
200712|3023011000|6|0|9|0601|2012-03-21 17:53:44
200702|3011010800|0|0|0|0601|2012-03-21 17:53:44
200704|3011010800|0|0|1|0601|2012-03-21 17:53:44
200706|3011010800|0|0|0|0601|2012-03-21 17:53:44
200708|3011010800|0|0|0|0601|2012-03-21 17:53:44
200710|3011010800|0|0|1|0601|2012-03-21 17:53:44
200712|3011010800|0|0|0|0601|2012-03-21 17:53:44
200702|3023011600|2|0|4|0601|2012-03-21 17:53:44
200704|3023011600|4|0|6|0601|2012-03-21 17:53:44
200706|3023011600|1|0|4|0601|2012-03-21 17:53:44
200708|3023011600|3|0|4|0601|2012-03-21 17:53:44
200710|3023011600|3|0|3|0601|2012-03-21 17:53:44
200712|3023011600|3|0|5|0601|2012-03-21 17:53:44
200702|3023011100|3|0|3|0601|2012-03-21 17:53:44
200704|3023011100|1|0|1|0601|2012-03-21 17:53:44
200706|3023011100|0|0|0|0601|2012-03-21 17:53:44
200708|3023011100|1|0|1|0601|2012-03-21 17:53:44
200710|3023011100|1|0|1|0601|2012-03-21 17:53:44
200712|3023011100|0|0|0|0601|2012-03-21 17:53:44
200702|3023010700|9|0|21|0601|2012-03-21 17:53:44
200704|3023010700|3|0|5|0601|2012-03-21 17:53:44
200706|3023010700|6|0|6|0601|2012-03-21 17:53:44
200708|3023010700|11|1|13|0601|2012-03-21 17:53:44
200710|3023010700|9|0|12|0601|2012-03-21 17:53:44
200712|3023010700|7|0|10|0601|2012-03-21 17:53:44
200702|3023010500|1|0|2|0601|2012-03-21 17:53:44
200704|3023010500|2|0|3|0601|2012-03-21 17:53:44
200706|3023010500|1|0|4|0601|2012-03-21 17:53:44
200708|3023010500|2|0|5|0601|2012-03-21 17:53:44
200710|3023010500|0|0|0|0601|2012-03-21 17:53:44
200712|3023010500|1|0|2|0601|2012-03-21 17:53:44
200702|3023011400|2|0|4|0601|2012-03-21 17:53:44
200704|3023011400|0|0|0|0601|2012-03-21 17:53:44
200706|3023011400|0|0|0|0601|2012-03-21 17:53:44
200708|3023011400|0|0|0|0601|2012-03-21 17:53:44
200710|3023011400|1|0|3|0601|2012-03-21 17:53:44
200712|3023011400|1|0|1|0601|2012-03-21 17:53:44
200702|3023012600|3|0|4|0601|2012-03-21 17:53:44
200704|3023012600|3|1|4|0601|2012-03-21 17:53:44
200706|3023012600|4|0|4|0601|2012-03-21 17:53:44
200708|3023012600|3|0|5|0601|2012-03-21 17:53:44
200710|3023012600|5|0|6|0601|2012-03-21 17:53:44
200712|3023012600|2|0|5|0601|2012-03-21 17:53:44
200702|3023010400|1|0|1|0601|2012-03-21 17:53:44
200704|3023010400|0|0|0|0601|2012-03-21 17:53:44
200706|3023010400|0|0|0|0601|2012-03-21 17:53:44
200708|3023010400|0|0|0|0601|2012-03-21 17:53:44
200710|3023010400|0|0|0|0601|2012-03-21 17:53:44
200712|3023010400|0|0|0|0601|2012-03-21 17:53:44
200702|3023010100|17|1|29|0601|2012-03-21 17:53:44
200704|3023010100|18|0|21|0601|2012-03-21 17:53:44
200706|3023010100|18|0|28|0601|2012-03-21 17:53:44
200708|3023010100|18|1|29|0601|2012-03-21 17:53:44
200710|3023010100|20|1|27|0601|2012-03-21 17:53:44
200712|3023010100|11|1|15|0601|2012-03-21 17:53:44
200702|3023010600|0|0|0|0601|2012-03-21 17:53:44
200704|3023010600|1|0|3|0601|2012-03-21 17:53:44
200706|3023010600|2|1|1|0601|2012-03-21 17:53:44
200708|3023010600|0|0|0|0601|2012-03-21 17:53:44
200710|3023010600|1|0|1|0601|2012-03-21 17:53:44
200712|3023010600|2|0|2|0601|2012-03-21 17:53:44
200702|3023010300|3|1|6|0601|2012-03-21 17:53:44
200704|3023010300|4|1|4|0601|2012-03-21 17:53:44
200706|3023010300|1|0|1|0601|2012-03-21 17:53:44
200708|3023010300|2|0|4|0601|2012-03-21 17:53:44
200710|3023010300|4|0|5|0601|2012-03-21 17:53:44
200712|3023010300|4|0|6|0601|2012-03-21 17:53:44
200702|3020012800|0|0|0|0601|2012-03-21 17:53:44
200704|3020012800|0|0|0|0601|2012-03-21 17:53:44
200706|3020012800|0|0|0|0601|2012-03-21 17:53:44
200708|3020012800|1|0|1|0601|2012-03-21 17:53:44
200710|3020012800|0|0|0|0601|2012-03-21 17:53:44
200712|3020012800|0|0|0|0601|2012-03-21 17:53:44
200702|3023010900|6|0|6|0601|2012-03-21 17:53:44
200704|3023010900|10|0|12|0601|2012-03-21 17:53:44
200706|3023010900|8|0|22|0601|2012-03-21 17:53:44
200708|3023010900|9|0|14|0601|2012-03-21 17:53:44
200710|3023010900|12|0|19|0601|2012-03-21 17:53:44
200712|3023010900|10|1|9|0601|2012-03-21 17:53:44
200702|3017012100|0|0|0|0601|2012-03-21 17:53:44
200704|3017012100|1|1|0|0601|2012-03-21 17:53:44
200706|3017012100|1|0|2|0601|2012-03-21 17:53:44
200708|3017012100|0|0|0|0601|2012-03-21 17:53:44
