집계일자,집계시,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20220401,03,0,1,10,0,52,1,4,6,2,0,65,
20220401,03,0,1,10,1,1,0,0,0,0,0,1,
20220401,03,0,1,11,0,44,5,4,10,3,1,67,
20220401,03,0,1,44,0,28,8,3,10,3,6,58,
20220401,03,0,1,44,1,1,0,0,0,0,0,1,
20220401,03,0,1,26,1,14,0,0,0,0,4,18,
20220401,03,0,1,43,1,3,0,0,0,0,0,3,
20220401,03,0,2,00,0,6311,1762,1047,1876,2831,234,14061,
20220401,03,0,2,00,1,2101,391,161,196,456,100,3405,
20220401,03,0,2,01,0,558,76,80,262,337,12,1325,
20220401,03,0,2,45,0,104,17,59,109,169,1,459,
20220401,03,0,2,02,0,300,66,33,81,129,5,614,
20220401,03,0,2,18,0,229,54,70,82,230,8,673,
20220401,03,0,2,34,0,119,27,27,17,39,3,232,
20220401,03,0,2,28,0,193,46,23,15,22,12,311,
20220401,03,0,2,37,0,23,4,10,10,63,1,111,
20220401,03,0,2,48,0,71,9,10,9,32,4,135,
20220401,03,0,2,49,0,97,18,21,23,18,3,180,
20220401,03,0,2,46,0,10,5,3,8,21,0,47,
20220401,03,0,2,08,0,136,30,17,22,78,6,289,
20220401,03,0,2,08,1,2,0,0,0,0,0,2,
20220401,03,0,2,10,0,302,46,31,27,35,20,461,
20220401,03,0,2,10,1,32,2,3,0,3,2,42,
20220401,03,0,2,11,0,316,72,53,45,49,18,553,
20220401,03,0,2,24,1,5,0,2,0,0,0,7,
20220401,03,0,2,44,0,232,49,31,53,79,12,456,
20220401,03,0,2,44,1,16,0,0,0,0,0,16,
20220401,03,0,2,27,1,76,7,7,0,2,11,103,
20220401,03,0,2,26,1,34,2,0,0,0,3,39,
20220401,03,0,2,43,1,23,0,2,1,0,2,28,
20220401,03,1,1,00,0,947,108,106,472,116,80,1829,
20220401,03,1,1,00,1,327,25,42,107,60,25,586,
20220401,03,1,1,01,0,24,3,4,11,10,1,53,
20220401,03,1,1,45,0,4,1,0,6,0,0,11,
20220401,03,1,1,02,0,31,1,3,12,4,2,53,
20220401,03,1,1,18,0,24,4,4,24,13,2,71,
20220401,03,1,1,34,0,13,0,0,0,0,0,13,
20220401,03,1,1,28,0,21,3,1,1,2,3,31,
20220401,03,1,1,37,0,7,0,1,11,3,0,22,
20220401,03,1,1,48,0,4,0,1,2,1,1,9,
20220401,03,1,1,49,0,10,0,1,3,0,1,15,
20220401,03,1,1,46,0,2,1,0,1,0,0,4,
20220401,03,1,1,08,0,20,1,4,14,4,3,46,
20220401,03,1,1,08,1,6,1,0,0,0,0,7,
20220401,03,1,1,10,0,35,0,1,5,1,3,45,
20220401,03,1,1,10,1,3,0,0,0,0,0,3,
20220401,03,1,1,11,0,41,4,4,12,4,0,65,
20220401,03,1,1,24,1,4,0,0,0,0,0,4,
20220401,03,1,1,44,0,30,6,7,11,4,5,63,
20220401,03,1,1,44,1,1,0,0,0,0,0,1,
20220401,03,1,1,26,1,13,4,2,1,0,3,23,
20220401,03,1,1,43,1,21,4,0,5,1,1,32,
20220401,03,1,2,00,0,5611,1591,856,1474,1914,222,11668,
20220401,03,1,2,00,1,2075,315,110,246,345,125,3216,
20220401,03,1,2,01,0,536,68,73,227,333,11,1248,
20220401,03,1,2,45,0,98,13,57,102,178,1,449,
20220401,03,1,2,02,0,278,73,34,87,122,4,598,
20220401,03,1,2,18,0,193,39,62,74,205,6,579,
20220401,03,1,2,34,0,101,25,20,14,46,2,208,
20220401,03,1,2,28,0,191,43,14,12,16,11,287,
20220401,03,1,2,37,0,26,7,10,11,28,3,85,
20220401,03,1,2,48,0,73,7,9,12,28,4,133,
20220401,03,1,2,49,0,97,18,20,23,22,2,182,
20220401,03,1,2,46,0,12,6,2,11,20,0,51,
20220401,03,1,2,08,0,110,20,18,19,53,5,225,
20220401,03,1,2,08,1,4,1,0,0,1,0,6,
20220401,03,1,2,10,0,266,34,21,24,30,15,390,
20220401,03,1,2,10,1,29,1,1,0,0,1,32,
20220401,03,1,2,11,0,264,49,31,28,50,19,441,
20220401,03,1,2,44,0,224,51,20,56,63,11,425,
20220401,03,1,2,44,1,10,0,0,0,2,0,12,
20220401,03,1,2,27,1,58,2,3,0,6,1,70,
20220401,03,1,2,26,1,38,2,0,0,0,5,45,
20220401,03,1,2,43,1,144,30,12,16,28,13,243,
20220401,04,0,1,00,0,1662,175,363,850,240,32,3322,
20220401,04,0,1,00,1,508,42,73,126,40,54,843,
20220401,04,0,1,01,0,21,0,6,20,6,0,53,
20220401,04,0,1,45,0,2,1,7,12,2,0,24,
20220401,04,0,1,02,0,27,4,11,21,5,1,69,
20220401,04,0,1,18,0,48,4,16,37,16,0,121,
20220401,04,0,1,34,0,27,1,4,9,1,0,42,
20220401,04,0,1,28,0,57,4,3,5,0,1,70,
20220401,04,0,1,37,0,10,0,1,23,8,1,43,
20220401,04,0,1,48,0,2,0,1,2,1,0,6,
20220401,04,0,1,49,0,0,0,3,2,0,0,5,
20220401,04,0,1,46,0,1,0,0,0,0,1,2,
20220401,04,0,1,08,0,40,3,5,23,20,0,91,
20220401,04,0,1,08,1,3,3,0,0,0,0,6,
20220401,04,0,1,10,0,57,3,2,10,4,0,76,
20220401,04,0,1,10,1,5,1,1,0,0,1,8,
20220401,04,0,1,11,0,84,5,10,21,3,5,128,
20220401,04,0,1,44,0,40,3,11,11,4,5,74,
20220401,04,0,1,44,1,1,0,0,0,0,0,1,
20220401,04,0,1,26,1,33,6,3,2,1,3,48,
20220401,04,0,1,43,1,8,0,0,0,0,0,8,
20220401,04,0,2,00,0,12668,2456,1814,2741,4609,555,24843,
20220401,04,0,2,00,1,4695,551,241,379,668,228,6762,
20220401,04,0,2,01,0,859,126,100,300,415,21,1821,
20220401,04,0,2,45,0,158,28,86,127,210,3,612,
20220401,04,0,2,02,0,429,101,71,117,182,10,910,
20220401,04,0,2,18,0,571,94,114,113,374,23,1289,
20220401,04,0,2,34,0,247,42,37,22,75,13,436,
20220401,04,0,2,28,0,420,51,35,26,27,23,582,
20220401,04,0,2,37,0,50,10,12,10,106,8,196,
20220401,04,0,2,48,0,114,21,7,17,39,5,203,
20220401,04,0,2,49,0,174,32,20,49,43,4,322,
20220401,04,0,2,46,0,20,7,6,13,26,0,72,
20220401,04,0,2,08,0,227,29,23,18,143,12,452,
20220401,04,0,2,08,1,2,0,0,1,0,0,3,
20220401,04,0,2,10,0,571,60,33,54,95,41,854,
20220401,04,0,2,10,1,37,5,5,5,7,2,61,
20220401,04,0,2,11,0,735,75,63,65,100,44,1082,
20220401,04,0,2,24,1,7,4,0,0,0,1,12,
20220401,04,0,2,44,0,480,76,35,70,155,23,839,
20220401,04,0,2,44,1,10,1,0,0,0,1,12,
20220401,04,0,2,27,1,146,5,4,0,3,17,175,
20220401,04,0,2,26,1,89,2,1,0,0,10,102,
20220401,04,0,2,43,1,47,3,0,3,4,3,60,
20220401,04,1,1,00,0,1174,170,172,609,176,112,2413,
20220401,04,1,1,00,1,437,46,72,147,82,33,817,
20220401,04,1,1,01,0,10,1,1,11,6,1,30,
20220401,04,1,1,45,0,1,0,2,5,2,0,10,
20220401,04,1,1,02,0,21,3,5,21,0,5,55,
20220401,04,1,1,18,0,28,5,14,24,11,6,88,
20220401,04,1,1,34,0,13,0,1,0,0,1,15,
20220401,04,1,1,28,0,35,2,2,5,1,1,46,
20220401,04,1,1,37,0,8,1,1,11,4,0,25,
20220401,04,1,1,48,0,5,0,2,3,1,0,11,
20220401,04,1,1,49,0,1,1,1,5,0,0,8,
20220401,04,1,1,08,0,31,4,7,26,12,1,81,
20220401,04,1,1,08,1,8,0,0,2,0,1,11,
20220401,04,1,1,10,0,49,2,3,6,3,8,71,
