행정구,승객수,기준_날짜,시군구
11050,226831,20220104,광진구
11050,227882,20220105,광진구
11050,229640,20220106,광진구
11050,239052,20220107,광진구
11050,187442,20220108,광진구
11050,135379,20220109,광진구
11050,226934,20220112,광진구
11050,229362,20220113,광진구
11050,236972,20220114,광진구
11050,184318,20220115,광진구
11050,141938,20220116,광진구
11050,227757,20220117,광진구
11050,230638,20220118,광진구
11050,237923,20220119,광진구
11050,235914,20220120,광진구
11050,244439,20220121,광진구
11050,190989,20220122,광진구
11050,145112,20220123,광진구
11050,230148,20220124,광진구
11050,230450,20220125,광진구
11050,237001,20220126,광진구
11050,234003,20220127,광진구
11050,237737,20220128,광진구
11050,158543,20220129,광진구
11050,118411,20220130,광진구
11050,90714,20220131,광진구
11050,85522,20220201,광진구
11050,115978,20220202,광진구
11050,212890,20220203,광진구
11050,222958,20220204,광진구
11050,162296,20220205,광진구
11050,123771,20220206,광진구
11050,219846,20220207,광진구
11050,222698,20220208,광진구
11050,224541,20220209,광진구
11050,223620,20220210,광진구
11050,229984,20220211,광진구
11050,178127,20220212,광진구
11050,135270,20220213,광진구
11050,220840,20220214,광진구
11050,219835,20220215,광진구
11050,214966,20220216,광진구
11050,214216,20220217,광진구
11050,215459,20220224,광진구
11050,224724,20220225,광진구
11050,168008,20220226,광진구
11050,134687,20220227,광진구
11050,214304,20220228,광진구
11050,137321,20220301,광진구
11050,226685,20220302,광진구
11050,225462,20220303,광진구
11050,230327,20220304,광진구
11050,179938,20220305,광진구
11050,131249,20220306,광진구
11050,218803,20220307,광진구
11050,228107,20220308,광진구
11050,152680,20220309,광진구
11050,219598,20220310,광진구
11050,231710,20220311,광진구
11050,180173,20220312,광진구
11050,115883,20220313,광진구
11050,220148,20220315,광진구
11050,221072,20220316,광진구
11050,217390,20220317,광진구
11050,225003,20220318,광진구
11050,157286,20220319,광진구
11050,132349,20220320,광진구
11050,217480,20220321,광진구
11050,221502,20220322,광진구
11050,220622,20220323,광진구
11050,222315,20220324,광진구
11050,235284,20220325,광진구
11050,170769,20220326,광진구
11050,146880,20220327,광진구
11050,224453,20220328,광진구
11050,229731,20220329,광진구
11050,224495,20220330,광진구
11050,231447,20220331,광진구
11050,250835,20220401,광진구
11050,208536,20220402,광진구
11050,161347,20220403,광진구
11050,234201,20220404,광진구
11050,238398,20220405,광진구
11050,240727,20220406,광진구
11050,242863,20220407,광진구
11050,263515,20220408,광진구
11050,238983,20220409,광진구
11050,191317,20220410,광진구
11050,248166,20220411,광진구
11050,244051,20220412,광진구
11050,235792,20220413,광진구
11050,241563,20220414,광진구
11050,259642,20220415,광진구
11050,217653,20220416,광진구
11050,165370,20220417,광진구
11050,238649,20220418,광진구
11050,243230,20220419,광진구
11050,247434,20220420,광진구
11050,248284,20220421,광진구
11050,253869,20220422,광진구
11050,217873,20220423,광진구
11050,161739,20220424,광진구
11050,243327,20220425,광진구
11050,24625,20220426,광진구
11050,261875,20220427,광진구
11050,264831,20220428,광진구
11050,279165,20220429,광진구
11050,232427,20220430,광진구
11060,88658,20220101,동대문구
11060,104099,20220102,동대문구
