일자,통행량,읍면동,행정동코드,시군구,행정구코드
20220104,357409,이촌동,1103063,용산구,11030
20220104,18795,이태원동,1103065,용산구,11030
20220104,181229,일원동,1123072,강남구,11230
20220104,119495,자양동,1105064,광진구,11050
20220104,37819,잠실동,1124071,송파구,11240
20220104,0,잠원동,1122055,서초구,11220
20220104,129134,장안동,1106087,동대문구,11060
20220104,102828,장위동,1108076,성북구,11080
20220104,154752,장지동,1124081,송파구,11240
20220104,96293,장충동2가,1102058,중구,11020
20220104,140018,정릉동,1108062,성북구,11080
20220104,40132,종로3가,1101061,종로구,11010
20220104,31928,증산동,1112067,은평구,11120
20220104,16211,천호동,1125061,강동구,11250
20220104,120231,청담동,1123078,강남구,11230
20220104,26941,청운동,1101072,종로구,11010
20220104,39023,평창동,1101056,종로구,11010
20220104,65486,풍납동,1124051,송파구,11240
20220104,143377,한남동,1103074,용산구,11030
20220104,123180,합정동,1114068,마포구,11140
20220104,63023,홍은동,1113066,서대문구,11130
20220104,36630,화곡동,1116055,강서구,11160
20220104,41289,황학동,1102067,중구,11020
20220104,8205,회현동1가,1102054,중구,11020
20220105,205635,가산동,1118051,금천구,11180
20220105,67579,개봉동,1117064,구로구,11170
20220105,276463,방화동,1116070,강서구,11160
20220105,192175,고덕동,1125055,강동구,11250
20220105,112042,공릉동,1111056,노원구,11110
20220105,23378,공항동,1116069,강서구,11160
20220105,26201,광장동,1105063,광진구,11050
20220105,39985,구산동,1112057,은평구,11120
20220105,65368,논현동,1123052,강남구,11230
20220105,58319,당산동,1119055,영등포구,11190
20220105,33867,대림동,1119070,영등포구,11190
20220105,47107,도곡동,1123066,강남구,11230
20220105,48103,도봉동,1110064,도봉구,11100
20220105,93301,독산동,1118052,금천구,11180
20220105,54248,돈암동,1108058,성북구,11080
20220105,149822,망원동,1114069,마포구,11140
20220105,169003,반포동,1122056,서초구,11220
20220105,80420,방배동,1122061,서초구,11220
20220105,65071,삼성동,1121082,관악구,11210
20220105,180942,상계동,1111065,노원구,11110
20220105,399914,상암동,1114074,마포구,11140
20220105,47845,상일동,1125076,강동구,11250
20220105,324261,서초동,1122051,서초구,11220
20220105,11314,성북동,1108081,성북구,11080
20220105,99739,세곡동,1123076,강남구,11230
20220105,61998,송정동,1104069,성동구,11040
20220105,35516,송파동,1124061,송파구,11240
20220105,49826,수색동,1112068,은평구,11120
20220105,50941,숭인동,1101070,종로구,11010
20220105,162823,시흥동,1118057,금천구,11180
20220105,102880,신내동,1107069,중랑구,11070
20220105,60404,신당동,1102065,중구,11020
20220105,42661,신도림동,1117051,구로구,11170
20220105,14604,신림동,1121069,관악구,11210
20220105,173715,신사동,1112065,은평구,11120
20220105,351368,신월동,1115057,양천구,11150
20220105,43909,신정동,1115064,양천구,11150
20220105,0,신촌동,1113075,서대문구,11130
20220105,173997,양재동,1122066,서초구,11220
20220105,55102,양평동2가,1119061,영등포구,11190
20220105,287185,여의도동,1119054,영등포구,11190
20220105,52249,역삼동,1123064,강남구,11230
20220105,33593,연희동,1113076,서대문구,11130
20220105,86991,영등포동2가,1119073,영등포구,11190
20220105,49491,영등포동7가,1119073,영등포구,11190
20220105,252952,옥수동,1104073,성동구,11040
20220105,79952,용답동,1104070,성동구,11040
20220105,29938,용산동2가,1103052,용산구,11030
20220105,121726,월계동,1111051,노원구,11110
20220105,29919,을지로2가,1102060,중구,11020
20220105,357685,이촌동,1103063,용산구,11030
20220105,19273,이태원동,1103065,용산구,11030
20220105,179192,일원동,1123072,강남구,11230
20220105,120628,자양동,1105064,광진구,11050
20220105,37301,잠실동,1124071,송파구,11240
20220105,0,잠원동,1122055,서초구,11220
20220105,129626,장안동,1106087,동대문구,11060
20220105,105137,장위동,1108076,성북구,11080
20220105,152714,장지동,1124081,송파구,11240
20220105,98678,장충동2가,1102058,중구,11020
20220105,134666,정릉동,1108062,성북구,11080
20220105,40308,종로3가,1101061,종로구,11010
20220105,32363,증산동,1112067,은평구,11120
20220105,15708,천호동,1125061,강동구,11250
20220105,119337,청담동,1123078,강남구,11230
20220105,27200,청운동,1101072,종로구,11010
20220105,39824,평창동,1101056,종로구,11010
20220105,66919,풍납동,1124051,송파구,11240
20220105,143683,한남동,1103074,용산구,11030
20220105,123336,합정동,1114068,마포구,11140
20220105,63576,홍은동,1113066,서대문구,11130
20220105,36811,화곡동,1116055,강서구,11160
20220105,41374,황학동,1102067,중구,11020
20220105,8261,회현동1가,1102054,중구,11020
20220106,195878,가산동,1118051,금천구,11180
20220106,67930,개봉동,1117064,구로구,11170
20220106,256104,방화동,1116070,강서구,11160
20220106,172693,고덕동,1125055,강동구,11250
20220106,99230,공릉동,1111056,노원구,11110
20220106,23581,공항동,1116069,강서구,11160
20220106,27045,광장동,1105063,광진구,11050
20220106,40515,구산동,1112057,은평구,11120
20220106,59693,논현동,1123052,강남구,11230
20220106,60062,당산동,1119055,영등포구,11190
20220106,33492,대림동,1119070,영등포구,11190
20220106,24637,도곡동,1123066,강남구,11230
20220106,48513,도봉동,1110064,도봉구,11100
20220106,92629,독산동,1118052,금천구,11180
20220106,54179,돈암동,1108058,성북구,11080
20220106,152690,망원동,1114069,마포구,11140
20220106,168542,반포동,1122056,서초구,11220
20220106,70177,방배동,1122061,서초구,11220
20220106,66829,삼성동,1121082,관악구,11210
20220106,175298,상계동,1111065,노원구,11110
20220106,369889,상암동,1114074,마포구,11140
20220106,77331,상일동,1125076,강동구,11250
20220106,310147,서초동,1122051,서초구,11220
20220106,11180,성북동,1108081,성북구,11080
20220106,104056,세곡동,1123076,강남구,11230
20220106,56547,송정동,1104069,성동구,11040
20220106,35924,송파동,1124061,송파구,11240
20220106,50331,수색동,1112068,은평구,11120
20220106,50805,숭인동,1101070,종로구,11010
20220106,165535,시흥동,1118057,금천구,11180
20220106,94882,신내동,1107069,중랑구,11070
20220106,61176,신당동,1102065,중구,11020
20220106,42334,신도림동,1117051,구로구,11170
20220106,15013,신림동,1121069,관악구,11210
20220106,173024,신사동,1112065,은평구,11120
20220106,344857,신월동,1115057,양천구,11150
20220106,45148,신정동,1115064,양천구,11150
20220106,0,신촌동,1113075,서대문구,11130
20220106,169465,양재동,1122066,서초구,11220
20220106,56144,양평동2가,1119061,영등포구,11190
20220106,278753,여의도동,1119054,영등포구,11190
20220106,47956,역삼동,1123064,강남구,11230
20220106,34703,연희동,1113076,서대문구,11130
20220106,88204,영등포동2가,1119073,영등포구,11190
20220106,50064,영등포동7가,1119073,영등포구,11190
20220106,250312,옥수동,1104073,성동구,11040
20220106,80887,용답동,1104070,성동구,11040
20220106,31744,용산동2가,1103052,용산구,11030
20220106,124975,월계동,1111051,노원구,11110
20220106,30776,을지로2가,1102060,중구,11020
20220106,355861,이촌동,1103063,용산구,11030
20220106,19431,이태원동,1103065,용산구,11030
20220106,183618,일원동,1123072,강남구,11230
20220106,123857,자양동,1105064,광진구,11050
20220106,38139,잠실동,1124071,송파구,11240
20220106,0,잠원동,1122055,서초구,11220
20220106,131274,장안동,1106087,동대문구,11060
20220106,90683,장위동,1108076,성북구,11080
20220106,159247,장지동,1124081,송파구,11240
20220106,99119,장충동2가,1102058,중구,11020
20220106,122438,정릉동,1108062,성북구,11080
20220106,40563,종로3가,1101061,종로구,11010
20220106,31874,증산동,1112067,은평구,11120
20220106,16252,천호동,1125061,강동구,11250
20220106,123815,청담동,1123078,강남구,11230
20220106,27834,청운동,1101072,종로구,11010
20220106,40808,평창동,1101056,종로구,11010
20220106,68662,풍납동,1124051,송파구,11240
20220106,136865,한남동,1103074,용산구,11030
20220106,111223,합정동,1114068,마포구,11140
20220106,63419,홍은동,1113066,서대문구,11130
20220106,36793,화곡동,1116055,강서구,11160
20220106,41390,황학동,1102067,중구,11020
20220106,8557,회현동1가,1102054,중구,11020
20220107,216444,가산동,1118051,금천구,11180
20220107,70056,개봉동,1117064,구로구,11170
20220107,290580,방화동,1116070,강서구,11160
20220107,205678,고덕동,1125055,강동구,11250
20220107,115943,공릉동,1111056,노원구,11110
20220107,24425,공항동,1116069,강서구,11160
20220107,28024,광장동,1105063,광진구,11050
20220107,41914,구산동,1112057,은평구,11120
20220107,66088,논현동,1123052,강남구,11230
20220107,62255,당산동,1119055,영등포구,11190
20220107,34414,대림동,1119070,영등포구,11190
20220107,43255,도곡동,1123066,강남구,11230
20220107,49762,도봉동,1110064,도봉구,11100
20220107,94740,독산동,1118052,금천구,11180
20220107,55293,돈암동,1108058,성북구,11080
20220107,154611,망원동,1114069,마포구,11140
20220107,169188,반포동,1122056,서초구,11220
20220107,80672,방배동,1122061,서초구,11220
20220107,65893,삼성동,1121082,관악구,11210
20220107,194383,상계동,1111065,노원구,11110
20220107,413622,상암동,1114074,마포구,11140
20220107,104476,상일동,1125076,강동구,11250
20220107,334187,서초동,1122051,서초구,11220
20220107,11908,성북동,1108081,성북구,11080
20220107,104196,세곡동,1123076,강남구,11230
20220107,65385,송정동,1104069,성동구,11040
20220107,37224,송파동,1124061,송파구,11240
20220107,51530,수색동,1112068,은평구,11120
20220107,52177,숭인동,1101070,종로구,11010
20220107,170225,시흥동,1118057,금천구,11180
20220107,106787,신내동,1107069,중랑구,11070
20220107,61697,신당동,1102065,중구,11020
20220107,45301,신도림동,1117051,구로구,11170
20220107,15298,신림동,1121069,관악구,11210
20220107,175452,신사동,1112065,은평구,11120
20220107,358967,신월동,1115057,양천구,11150
20220107,45933,신정동,1115064,양천구,11150
20220107,0,신촌동,1113075,서대문구,11130
20220107,179438,양재동,1122066,서초구,11220
20220107,57802,양평동2가,1119061,영등포구,11190
20220107,296638,여의도동,1119054,영등포구,11190
20220107,53776,역삼동,1123064,강남구,11230
20220107,35905,연희동,1113076,서대문구,11130
20220107,89861,영등포동2가,1119073,영등포구,11190
20220107,49944,영등포동7가,1119073,영등포구,11190
20220107,259267,옥수동,1104073,성동구,11040
20220107,81202,용답동,1104070,성동구,11040
20220107,31872,용산동2가,1103052,용산구,11030
