차종종별,연료,건수,비율,읍면동,행정동코드,시군구,행정구코드
승용,경유,11624,0.0532264579271271,문래동,1119076,영등포구,11190
승용,휘발유,11613,0.05317608877389255,잠실본동,1124071,송파구,11240
승용,경유,11591,0.05307535046742345,압구정동,1123077,강남구,11230
승용,휘발유,11576,0.05300666525846726,반포본동,1122056,서초구,11220
승용,휘발유(무연),11570,0.05297919117488477,진관동,1112071,은평구,11120
승용,휘발유,11561,0.05293798004951105,장지동,1124081,송파구,11240
승용,휘발유(무연),11552,0.05289676892413733,화곡본동,1116055,강서구,11160
승용,휘발유(무연),11498,0.052649502171895,상도1동,1120053,동작구,11200
승용,휘발유(무연),11483,0.05258081696293879,방배본동,1122061,서초구,11220
승용,경유,11475,0.05254418485149548,길음1동,1108066,성북구,11080
승용,휘발유,11472,0.05253044780970424,양재1동,1122066,서초구,11220
승용,경유,11471,0.05252586879577382,도곡1동,1123066,강남구,11230
승용,경유,11445,0.05240681443358308,서초1동,1122051,서초구,11220
승용,휘발유(무연),11431,0.05234270823855729,성수1가1동,1104065,성동구,11040
승용,휘발유(무연),11418,0.05228318105746191,고덕1동,1125055,강동구,11250
승용,하이브리드(휘발유+전기),11402,0.05220991683457529,역삼1동,1123064,강남구,11230
승용,휘발유(무연),11397,0.05218702176492322,행당1동,1104056,성동구,11040
승용,휘발유(무연),11397,0.05218702176492322,신대방1동,1120069,동작구,11200
승용,휘발유(무연),11395,0.0521778637370624,용답동,1104070,성동구,11040
승용,경유,11386,0.05213665261168867,자양1동,1105064,광진구,11050
승용,휘발유(무연),11380,0.0521091785281062,잠실본동,1124071,송파구,11240
승용,하이브리드(휘발유+전기),11378,0.05210002050024537,가양1동,1116064,강서구,11160
승용,경유,11366,0.0520450723330804,반포본동,1122056,서초구,11220
승용,경유,11357,0.05200386120770668,강일동,1125075,강동구,11250
승용,휘발유,11351,0.0519763871241242,신내1동,1107069,중랑구,11070
승용,경유,11317,0.05182070065049013,문정1동,1124068,송파구,11240
승용,휘발유,11314,0.05180696360869889,도곡1동,1123066,강남구,11230
승용,휘발유,11289,0.05169248826043856,종암동,1108084,성북구,11080
승용,휘발유(무연),11286,0.05167875121864732,월곡1동,1108071,성북구,11080
승용,휘발유,11281,0.05165585614899525,여의동,1119054,영등포구,11190
승용,휘발유,11276,0.05163296107934318,아현동,1114078,마포구,11140
승용,휘발유(무연),11266,0.05158717094003906,수궁동,1117069,구로구,11170
승용,휘발유(무연),11251,0.05151848573108285,용강동,1114059,마포구,11140
승용,휘발유(무연),11250,0.05151390671715243,면목2동,1107052,중랑구,11070
승용,경유,11211,0.0513353251738663,화곡본동,1116055,강서구,11160
승용,휘발유(무연),11203,0.05129869306242299,상계1동,1111065,노원구,11110
승용,휘발유(무연),11181,0.0511979547559539,당산1동,1119055,영등포구,11190
승용,휘발유(무연),11167,0.05113384856092811,중곡1동,1105055,광진구,11050
승용,휘발유(무연),11163,0.05111553250520645,등촌1동,1116052,강서구,11160
승용,휘발유(무연),11158,0.05109263743555438,인수동,1109075,강북구,11090
승용,휘발유,11151,0.05106058433804149,가락본동,1124065,송파구,11240
승용,경유,11143,0.05102395222659819,이촌1동,1103063,용산구,11030
승용,휘발유(무연),11143,0.05102395222659819,화곡본동,1116055,강서구,11160
승용,휘발유(무연),11135,0.05098732011515487,신정1동,1115064,양천구,11150
승용,휘발유(무연),11130,0.05096442504550281,잠실본동,1124071,송파구,11240
승용,경유,11123,0.05093237194798991,신정1동,1115064,양천구,11150
승용,휘발유(무연),11119,0.05091405589226826,사당1동,1120063,동작구,11200
승용,휘발유(무연),11118,0.05090947687833784,자양1동,1105064,광진구,11050
승용,경유,11113,0.05088658180868578,가양1동,1116064,강서구,11160
화물,경유,11093,0.0507950015300775,양재1동,1122066,서초구,11220
승용,휘발유(무연),11083,0.05074921139077337,방학1동,1110055,도봉구,11100
승용,휘발유(무연),11072,0.05069884223753882,성산1동,1114072,마포구,11140
승용,휘발유(무연),11071,0.05069426322360841,상계1동,1111065,노원구,11110
